NAME,Search Engines and Resources,WEB,Special Sports,Percentage in the Business,Mission Statement,City and State,Sstate,Address,EIN,Bridge Number,Gross Receipts,Assets,Funded Year,CEO or Principal Officer,Gender of Leadership,Cause Area,NTEE Code,IRS Filing Requirement,IRS Subsection
Bath City Roller Girls Inc.,,www.bathcityrollergirls.com,Roller Derby,1,"The Bath City Roller Girls (herein BCRG) is a member-owned and -operated amateur roller derby league in Macomb County, Michigan. BCRG strives to continue the tradition of roller derby which inspires strong and motivated individuals to train hard, respect their teammates, and commit to maintain a healthy environment for personal growth. We actively strive to appeal to our fans and give back to the community that supports us. BCRG will continually work toward being fully sponsored and financially sound. ","new Haven, MI",MI,"32054 W Brampton St., New Haven, MI 48048",81-4191353,8471285392,,,2016,Erica Castor,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Bay Area Girls Unite,,bayareagirlsunite.org,Soccer,1,"The art of leadership is found in nurturing the spirit to draw out each person's potential. The mission of Bay Area Girls Unite is to empower young women by way of organized sports, non-competitve play, and sharing ideas and opinions in a safe environment. Our goals are to strengthen their confidence and self-esteem and encourage them to express themselves more fully and critically through their behavior and choices. Girls are getting more pressure today than ever before from media and their peers. We are here to provide healthy messages and positive role models.",San Francisco,CA,"125 Cambon Dr Apt 3H, San Francisco, CA",47-3586282,1968252846,"$312,641 ","$143,932 ",2016,Lindsay Kauffman,,Youth Development Programs,O50,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Bay Area Women Sports Initiative Inc.,Guide Star (Women Sports),www.bawsi.org,Roller Derby; Fitness,3,"BAWSI mobilizes the women's sports community to engage, inspire, and empower the children who need us most.","San Jose, CA",CA,"1922 The Alameda Ste 420, San Jose,CA 95126",55-0897084,4815863273,"$509,166 ","$248,731 ",2005,Jennifer C. Smith,Female,"Other Recreation, Sports, or Leisure Activities N.E.C.",N99,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Bayat Foundation,,www.bayatfoundation.org,,4,"The Bayat Foundation firmly believes that the poverty, civil unrest, war, joblessness and poor healthcare that has plagued the nation for more than 30 years can be drastically improved. ","Ponte Vedra Beach, FL",FL,"PO BOX 2777, Ponte Vedra Beach, FL 32004",51-0590052,4163107424,"$156,926 ","$267,717 ",2008,Fatema Bayat,Female,International Relief; Fund Raising and/or Fund Distribution,Q33;E12,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Beau Biden Foundation for the Protection of Children,,www.beaubidenfoundation.org,,4,"We believe that child abuse can be prevented through effectively educating adults and children, developing the next generation of child welfare professionals and strengthening child protection laws around the country","Wilmington, DE",DE,"4601 Concord Pike, Wilmington, DE 19803",47-4507397,3968321640,"$863,101 ","$260,190 ",2016,Patricia Dailey Lewis,,"Child Abuse, Prevention of; Sexual Abuse, Prevention of",I72;I73,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Berkeley Bears Softball Association,,WWW.BEARS-SOFTBALL.COM,Softball,1,THE BEARS' GOAL IS TO CREATE AN ENVIRONMENT FOR SUSTAINED EXCELLENCE THROUGH THE ONGOING COMMITTMENT TO ORGINZATIONAL INTEGRITY AND PLAYER SPECIFIC SKILL DEVELOPMENT OPPORTUNTIES. THE YOUNG WOMEN IN THE PROGRAM WILL ALSO BE TAUGHT LEADERSHIP SKILLS.,"Martinez, CA",CA,"PO BOX 2301, Martinez, CA 94553",84-1717241,5072429289,"$147,868 ","$35,619 ",2007,,,"Baseball, Softball (includes Litle Leagues)",N63,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Billiard Congress of America,,www.bca-pool.com,Billiard,3,"Enhance the success of our members and promote the game of billiards, in addition to sanctioning touraments. The organization holds a trade show annually.","Superior, CO",CO,"500 Disovery Pkwy Ste 125, Superior, CO 80027",36-2548763,2360524282,"$634,801 ","$1,193,515 ",1989,Rob Johnson,Male,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,"501(c)(6) Business Leagues, etc."
,,,,,,,,,,,,,,,,,,,
Black Diamond Rollers Inc.,,www.dollsofdestruction.com,Roller Derby,1,"The Black Diamond Rollers roller derby league is a nonprofit organization dedicated to empowering women with inner strength, athleticism, competitiveness, and the mutual love of the sport.","Troy, PA",PA,"996 W Main St., Troy, PA 16947",81-2050654,4716021353,,,2016,Stacey Mount,,"Amateur Sports Clubs, Leagues, N.E.C.; Women's Service Clubs; Mutual/Membership Benefit Organizations, Other N.E.C.",N60; S81; Y99,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Black Women in Sport Foundation,Guide Star (Women Sports),www.blackwomeninsport.org,,3," BWSF, is a nonprofit organization whose mission is to increase the involvement of black women and girls in all aspects of sport, including athletics, coaching and administration.","Bristol, TN",TN,"Sullivan Progress Plaza - 1501 N. Broad St., Bristol, TN 37620",23-2727877,5608755069,"$139,674 ","$113,135 ",1992,Tina Sloan-Green,Female,Fund Raising and Fund Distribution,N12,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Boosters of Boys Girls Sports,Guide Star (Girls Sports),,,3,PROVIDE SPORTS PROGRAMS FOR KIDS,"Lodi, CA",CA,"125 N STOCKTON ST LODI , CA 95240",68-0040578,4545904448,,,1985,,,Single Organization Support,B11,990 or 990-EZ.,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Boys & Girls Sports Scholarship Foundation,Guide Star (Girls Sports),,,3,,"Irmo, SC",SC,"17 HOLMSBURY CT IRMO, SC 29063",47-4596523,3602556513,,,2016,,,"Scholarships, Student Financial Aid, Awards",B82,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Bradford Sportsmen's Club,,,Shooting; Archery,3,"The club actively fosters the understanding and practice of strict adherence to safety rules and the proper, courteous personal conduct associated with the best percepts of good sportsmanship.","Narragansett, RI",RI,"PO BOX 65, Narragansett, RI 02882",05-0457564,8398889950,"$216,508 ","$996,022 ",1992,,,Fishing and Hunting Clubs,N61,990 or 990-EZ,501(c)(7) Social and Recreation Clubs
,,,,,,,,,,,,,,,,,,,
Breast of Texas Dragon Boat Team,,www.breastoftexasdb.org,"Dragon Boat Racing",1,"The Breast of Texas mission and vision is to promote and provide education on health, fitness, wellness, and nutrition. We assist survivors with financial burdens that may prohibit them from being members of our team. We promote awareness in the wider community by reaching newly diagnosed breast cancer patients and share our experiences to help navigate body related changes and provide social support. We want every survivor to know that they ae living proof that there is life after breast cancer!","Roanoke, TX",TX,"PO BOX 1031, Roanoke, TX 76262",81-2794668,361315121,,,2016,Katherine Maciulewicz-Gass,Female,Health-General and Rehabilitative N.E.C.,E99,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Broward Womens Sports Program,Guide Star (Women Sports),browardrecsoccer.com,Soccer,1,,"Pembroke Pnes, FL",FL,"20240 NW 8th St., Pembroke Pens, FL 33029",31-1680080,7110179583,,,2000,Kelly-Anne Cozzati,Female,Soccer Clubs/Leagues,N64,990-N,501(c)(4) Civic Leagues and Social Welfare Organizations
,,,,,,,,,,,,,,,,,,,
Brown Girls Do Inc,,www.browngirlsdoballet.com,Ballet,1,"The mission of Brown Girls Do Ballet Inc is to help increase participation of underrepresented minority populations in ballet programs through organizing and arranging ballet performances, photo exhibitions, and providing resources and scholarships to assist young girls in their ballet development and training.","Dallas, TX",TX,"PO BOX 600892, Dallas, TX 75360",81-0945532,5704334824,,,2016,TaKiyah Wallace,Female,"Ballet; Recreational, Pleasure, or Social Club; Voluntarism Promotion",A63; N50; T40,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
California Women's Law Center,,www.cwlc.org,,2,"The California Women's Law Center (CWLC) breaks down barriers and advances the potential of women and girls through transformative litigation, policy advocacy and education.","El Segundo, CA",CA,"360 N Sepulveda Blvd Ste 2070, El Segundo, CA 90245",95-4204490,7632120510,"$1,795,132 ","$1,131,331 ",1994,Betsy Butler,Female,Women's Rights,R24,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Carolina for Kibera Inc.,,www.carolinaforkibera.org,,4,"Carolina for Kibera's primary mission is to develop local leaders, catalyze positive change, and alleviate poverty in Kibera. This is done by promoting youth leadership and ethnic and gender cooperation in Kibera through sports, young women's empowerment, and community development. Additionally, CFK works to improve basic healthcare, sanitation, and education in Kibera. Serving as a model for holistic, community-based urban development world-wide, CFK has helped grassroots organizations develop youth-based programs in six other nations and dozens of communities in Kenya. ","Chapel Hill, NC",NC,"301 Pitsboro Street Suite 3000, Chapel Hill, NC 27599",56-2248495,5664620892,"$705,633 ","$2,817,590 ",2001,Hillary Omala,Male,Alliance/Advocacy Organizations; Youth Development Programs; Community Health Systems,S01; O50; E21,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Casting for Recovery,,www.castingforrecovery.org,Fishing,1,"The mission of Casting for Recovery (CfR) is to enhance the quality of life of women with breast cancer through a unique program that combines breast cancer education and peer support with the therapeutic sport of fly fishing. Casting for Recovery offers opportunities for women to find inspiration, discover renewed energy for life and experience healing connections with other women and nature. CfR's retreats are open to women with breast cancer of all ages, in all stages of treatment and recovery, and are free to participants.","Bozeman, MT",MT,"109 E. Oak St., Suite 1 G, Bozeman, MT 59715",03-0354382,6385578724,"$1,545,834 ","$1,450,657 ",1998,Whitney Milhoan,Female,Cancer; Health Support Services; Fishing and Hunting Clubs,G30; E60; N61,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Champion Women,Guide Star (Women Sports),http://championwomen.org/,,1,"Champion Women will lead targeted efforts to aggressively advocate for equality, accountability, and transparency by these institutions with an underlying philosophy that sports opportunities are vehicles to improve the lives of girls and women. ","Jacksonville, FL",FL,"3116 Saint Johns Ave., Jacksonville, FL 32205",47-2162558,6674410963,"$30,504 ","$27,930 ",2015,,,Alliance/Advocacy Organizations,N01,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Charlotte Women Sports Association,Guide Star (Women Sports),,,1,,"Charlotte, NC",NC,"2417 Lydia Ave. Charlotte, NC 28205",20-1377959,2854252693,,,2005,Angela R Latimer,Female,Sports Training Facilities,N40,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Child's World America,,https://childsworldamerica.org/,,4,"Childs' World America is a catalyst for the movement to improve the well-being of American's children.We accomplish this by:Promoting the appreciation of children's perspectives and fostering a better understanding of childhood experience.Organizing collaboration and dialogue across individuals, professionals, and organizations committed to helping children.Together, creating a community with a united voice for educating and advocating for child-centered public policies","Villanova, PA",PA,"113 Hill Side Cir, Villanova, PA 19085",47-2363016,6564310466,,,2015,William Clark,Male,Human Service Organizatoins,P20,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Coaches Across Continents Inc,,www.coachesacrosscontinents.org,,3,"CAC uses sport as a vehicle to create self directed learners who can identify, address and solve problems specific to their community and create sustainable change","Watertown, MA",MA,"35 Myrtle St., Matertown, MA 02472",32-0249174,1354119225,"$457,574 ","$331,827 ",2008,Nicholas Gates,,Youth Development Programs,O50,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Code Pink Productions,,www.codepinkproductions.org,Basketball,2,"Code Pink Productions Inc. is an organization committed to building a better community by developing the potential of at-risk young girls and women through effective action and leadership of the organization and trained volunteers.","Plano, TX",TX,"2733 Gull Lake Dr., Plano, TX 75025",45-3065960,3980597328,,,2012,Monique J Muhammad,,Children's and Youth Services; Basketball,P30; N62,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Collegiate Women Sports Awards,Guide Star (Women Sports),,,1,The organization's mission is to recognize and award outstanding female athletes from across the United States.,"Palm Springs, CA",CA,"5980 Paradise Plz, Palm Springs, CA 92264",45-2281373,1449628042,"$912,148 ","$336,416 ",2011,Chris Voelz,,Sports Training Facilities,N40,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Colorado Coaches of Girls Sports,Guide Star (Girls Sports),http://colocgs.org/,Basketball; Softball; Volleyball,1,"goals are to:1. Provide equal representation for the female athletes in the state of Colorado.2. Provide statewide communication to all middle, junior, and senior high school coaches involved in girls athletics.3. Communicate Title IX interpretations through meetings with the Colorado Associations of School Boards.4. Provide additional state-sanctioned playoffs for senior girls.","Berthoud, CO",CO,"1721 WCR 4 BERTHOUD, CO 80513",84-1186139,5396641893,"$78,013 ","$112,732 ",1996,,,,Z99,990 or 990-EZ.,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Colorado Womens Roller Derby Inc.,Guide Star (Women Sports),www.denverrollerdolls.org,Roller Derby,1,Promote the sport of women's roller derby,"Denver, CO",CO,"Po Box 13376, Denver, CO 80201",20-4128074,6546836222,"$159,286 ","$57,074 ",2010,,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Colorado Womens Sports Fundassociation,Guide Star (Women Sports),www.cwsfa.org,,1,"The Colorado Women's Sports Fund Association seeks to increase the number of girls and women who participate in athletics, reduce and eliminate barriers that prevent participation, and match girls and women of all ages with athletic activities that they enjoy and can experience success.","Fort Collins, CO",CO,"Po Box 271366, Fort Collins,CO 80527",20-8579253,7444826310,,,2008,Joe Skelton,Male,Fund Raising and/or Fund Distribution,N12,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Conference Carolinas,Guide Star (Women Sports),WWW.CONFERENCECAROLINAS.COM,,3,To unite compatible liberal arts colleges and universities which provide institutionally controlled intercollegiate athletic opportunities that enhance the educational experience of all students and promote the mission of member institutions.,"High Point, NC",NC,"2310 N Centennial St. Ste 102, High Point, NC 27265",56-1947422,4473383641,"$828,290 ","$402,684 ",1996,,,Amateur Sports Competitions,N70,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Connecticut Northern Lights Girls Sports Inc,Guide Star (Girls Sports),,Hockey,1,To promote girls hockey in Northern Connecticut,"Wethersfield, CT",CT,"540 SILAS DEANE HWY WETHERSFIELD, CT 06109",76-0769496,7046839677,"$341,649 ","$71,379 ",2004,,,"Winter Sports (Snow and Ice) , Hockey",N68,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Continental T Belles Track Club Inc,,www.continentaltbellestrackclub.org,Track,1,"The Continental T-Belles Track Club, Inc. strives to promote excellence in physical fitness, nutritional health and academic and emotional development. We encourage a mind-set that promotes self-esteem, ethical and responsible behavior, community involvement, teamwork, leadership, and sportsmanship through repetitive training and through achievement in competitive excellence. We strive to foster an environment that will provide opportunities for young women to attend college with athletic and academic scholarships.","Nashville, TN",TN,"PO BOX 23094, Nashville, TN 37202",62-1259551,7975441131,"$71,865 ","$46,755 ",1991,Sam Smith,Male,"Youth Development Programs; Recreational, Pleasure, or Social Club",O50; N50,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Cycle Effect,,www.thecycleeffect.org,Cycle,1,Empowering young women through mountain biking to achieve brighter futures and build stronger communities.,"Eagle, CO",CO,"PO BOX 1503, Eagle, CO 81631",46-0961369,1515408897,"$468,765 ","$126,325 ",2013,Brett Donelson,,Youth Development Programs; Fund Raising and/or Fund Distribution,O50; N12,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Dancing Through the Curriculum (DTC),,www.dtcdance.org,Dance,1,To educate and empower young girls of color through exposure to the art of dance.,"Nashville, TN",TN,"3703 Park Avenue, Nashville, TN 37209",46-1078466,7069087137,"$73,599 ","$1,046 ",2016,Ashley Mushamba,,"Dance; Elementary, Secondary Ed; Youth Development Programs",A62; B20; O50,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Dark River Derby Coalition,,www.darkriverderby.org,,1,DRDC is a charitable organization with the purpose of empowering women through sport.,"Quincy, IL",IL,"PO BOX 3180, Quincy, IL 62305",45-2506619,4304211920,,,2012,Jessica Patel,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Daughters at play,,www.daughtersatplay.org,Basketball,1,"The mission of Daughters At Play, Inc. is to empower young women in our community to strive for and achieve goals at the collegiate level by creating an equal playing field with proper training, academic monitoring, and travel club participation.","Port Charlotte, FL",FL,"PO BOX 495331, Port Charlotte, FL 33949",81-3640853,479119213,,,2017,Thaddeus Spikes,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Delaware Womens Alliance for Sport and Fitness,Guide Star (Women Sports),www.dwasf.org,,1,,"Newark, DE",DE,"Po Box 224, Newark, DE 19715",51-0354365,7438571536,,,2001,Judy E Kreggenwinkel,,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
